Doc File Name	Document Index	Norm
article-1.stem	0	0.124815
article-10.stem	1	0.163897
article-100.stem	2	0.271410
article-101.stem	3	0.398455
article-102.stem	4	0.325855
article-103.stem	5	0.421922
article-104.stem	6	0.653367
article-105.stem	7	0.248499
article-106.stem	8	0.266000
article-107.stem	9	0.419747
article-108.stem	10	0.287241
article-109.stem	11	0.214859
article-11.stem	12	0.319136
article-110.stem	13	0.167667
article-111.stem	14	0.305488
article-112.stem	15	0.266019
article-113.stem	16	0.279288
article-114.stem	17	0.335951
article-115.stem	18	0.215272
article-116.stem	19	0.293284
article-117.stem	20	0.220018
article-118.stem	21	0.369547
article-119.stem	22	0.254119
article-12.stem	23	0.251211
article-120.stem	24	0.420498
article-121.stem	25	0.276008
article-122.stem	26	0.325707
article-123.stem	27	0.361588
article-124.stem	28	0.319251
article-125.stem	29	0.408702
article-126.stem	30	0.252296
article-127.stem	31	0.404974
article-128.stem	32	0.448987
article-129.stem	33	0.298746
article-13.stem	34	0.367016
article-130.stem	35	0.332769
article-131.stem	36	0.598320
article-132.stem	37	0.326084
article-133.stem	38	0.704247
article-134.stem	39	0.363058
article-135.stem	40	0.388248
article-136.stem	41	0.447743
article-137.stem	42	0.405467
article-138.stem	43	0.277652
article-139.stem	44	0.377538
article-14.stem	45	0.306077
article-140.stem	46	0.257901
article-141.stem	47	0.458501
article-142.stem	48	0.206005
article-143.stem	49	0.388062
article-144.stem	50	0.384258
article-145.stem	51	0.413304
article-146.stem	52	0.260769
article-147.stem	53	0.296599
article-148.stem	54	0.390293
article-149.stem	55	0.382262
article-15.stem	56	0.330241
article-150.stem	57	0.302171
article-151.stem	58	0.533585
article-152.stem	59	0.536471
article-153.stem	60	0.370203
article-154.stem	61	0.299111
article-155.stem	62	0.456354
article-156.stem	63	0.435847
article-157.stem	64	0.288982
article-158.stem	65	0.521705
article-159.stem	66	0.448745
article-16.stem	67	0.452998
article-160.stem	68	0.311979
article-161.stem	69	0.304775
article-162.stem	70	0.363073
article-163.stem	71	0.522664
article-164.stem	72	0.342678
article-165.stem	73	0.807663
article-166.stem	74	0.694620
article-167.stem	75	0.370673
article-168.stem	76	0.472239
article-169.stem	77	0.361337
article-17.stem	78	0.330835
article-170.stem	79	0.314671
