Word Index	IDF Value
0	2.096040
1	1.397071
2	1.235703
3	0.840768
4	1.085317
5	0.539738
6	1.618919
7	0.038184
8	0.037235
9	1.522009
10	2.220979
11	0.973825
12	1.044888
13	1.141798
14	1.999130
15	2.096040
16	0.126392
17	1.698101
18	2.698101
19	0.672795
20	0.885187
21	1.085317
22	0.789616
23	0.898760
24	2.096040
25	1.656708
26	0.949913
27	1.300161
28	1.206739
29	1.853003
30	1.584157
31	1.999130
32	1.442828
33	1.266737
34	0.491275
35	1.397071
36	2.698101
37	1.206739
38	1.317889
39	2.698101
40	0.817287
41	0.965707
42	1.044888
43	2.698101
44	2.698101
45	2.096040
46	1.743858
47	1.336373
48	1.853003
49	0.919949
50	1.795011
51	0.891921
52	1.375881
53	1.085317
54	2.220979
55	0.817287
56	1.522009
57	1.656708
58	0.965707
59	1.118317
60	1.336373
61	1.336373
62	1.919949
63	0.990530
64	2.698101
65	1.206739
66	1.141798
67	2.096040
68	1.919949
69	2.220979
70	0.973825
71	1.300161
72	1.141798
73	1.467652
74	2.698101
75	1.584157
76	1.336373
77	2.096040
78	2.698101
79	1.584157
80	1.235703
81	2.220979
82	1.107036
83	2.698101
84	2.096040
85	2.397071
86	1.336373
87	2.397071
88	2.096040
89	1.919949
90	0.965707
91	1.656708
92	1.522009
93	1.919949
94	1.283127
95	2.397071
96	2.220979
97	1.467652
98	1.999130
99	1.853003
100	2.698101
101	1.493981
102	2.220979
103	1.283127
104	1.656708
105	1.584157
106	1.397071
107	2.698101
108	2.698101
109	1.493981
110	1.442828
111	1.129899
112	0.823039
113	2.397071
114	1.283127
115	2.397071
116	2.698101
117	2.220979
118	1.044888
119	2.698101
120	1.074851
121	2.220979
122	2.397071
123	0.384233
124	1.919949
125	2.698101
126	1.317889
127	1.220979
128	2.220979
129	2.397071
130	1.698101
131	0.949913
132	1.522009
133	2.698101
134	1.919949
135	0.990530
136	2.397071
137	2.397071
138	0.779022
139	2.397071
140	2.397071
141	2.698101
142	1.035343
143	1.419347
144	1.141798
145	2.220979
146	2.096040
147	2.397071
148	2.220979
149	2.698101
150	1.493981
151	2.096040
152	2.698101
153	2.698101
154	1.618919
155	1.467652
156	1.656708
157	1.584157
158	1.016859
159	2.698101
160	1.919949
161	2.096040
162	1.493981
163	1.919949
164	2.698101
165	1.743858
166	2.220979
167	1.283127
168	1.853003
169	2.096040
170	1.419347
171	1.493981
172	1.074851
173	1.283127
174	2.698101
175	2.698101
176	2.096040
177	1.618919
178	1.397071
179	1.419347
180	1.656708
181	1.853003
182	1.999130
183	2.220979
184	1.493981
185	1.026003
186	0.965707
187	1.493981
188	1.743858
189	2.397071
190	1.919949
191	1.743858
192	1.179587
193	1.283127
194	1.493981
195	1.795011
196	2.397071
197	1.141798
198	2.698101
199	1.522009
200	1.618919
201	2.698101
202	2.397071
203	2.096040
204	2.698101
205	1.584157
206	0.483257
207	1.919949
208	2.698101
209	2.096040
210	1.795011
211	1.467652
212	1.853003
213	2.397071
214	1.919949
215	1.999130
216	1.355678
217	1.096041
218	1.999130
219	1.355678
220	2.698101
221	1.154032
222	0.949913
223	1.698101
224	1.698101
225	1.064632
226	2.698101
227	1.044888
228	1.698101
229	1.375881
230	2.698101
231	2.698101
232	2.096040
233	2.698101
234	2.698101
235	1.074851
